mean_test_score,rank_test_score,hyperparam_combination
0.2764343434343434,1,"'' SVC, 'C' 0.1, 'kernel' 'linear'"
0.25323809523809526,2,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 2, 'nestimators' 50"
0.24317099567099568,3,"'' SVC, 'C' 1, 'kernel' 'rbf'"
0.24038239538239536,4,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l1'"
0.23866450216450213,5,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l2'"
0.23636501377410468,6,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 2, 'nestimators' 100"
0.2354285714285714,7,"'' SVC, 'C' 10, 'kernel' 'rbf'"
0.2353107044470681,8,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 5, 'nestimators' 50"
0.23093506493506494,9,"'' KNeighborsClassifier, 'nneighbors' 7, 'weights' 'uniform'"
0.22652380952380952,10,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l2'"
0.22480735930735932,11,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 5, 'nestimators' 100"
0.22406926406926403,12,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l1'"
0.22383549783549786,13,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 2, 'nestimators' 100"
0.22096969696969695,14,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 5, 'nestimators' 100"
0.21930211202938477,15,"'' KNeighborsClassifier, 'nneighbors' 5, 'weights' 'uniform'"
0.21861616161616163,16,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 5, 'nestimators' 50"
0.217978354978355,17,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 2, 'nestimators' 100"
0.21688888888888885,18,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l2'"
0.21543578643578645,19,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 5, 'nestimators' 50"
0.21517099567099568,20,"'' SVC, 'C' 10, 'kernel' 'linear'"
0.21517099567099568,20,"'' SVC, 'C' 1, 'kernel' 'linear'"
0.21496969696969695,22,"'' KNeighborsClassifier, 'nneighbors' 7, 'weights' 'distance'"
0.20880086580086582,23,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 5, 'nestimators' 100"
0.20021408894136167,24,"'' KNeighborsClassifier, 'nneighbors' 5, 'weights' 'distance'"
0.1971190476190476,25,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 2, 'nestimators' 50"
0.16543578643578644,26,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 2, 'nestimators' 50"
0.1217987012987013,27,"'' KNeighborsClassifier, 'nneighbors' 3, 'weights' 'distance'"
0.12109504132231405,28,"'' KNeighborsClassifier, 'nneighbors' 3, 'weights' 'uniform'"
0.007571279295417227,29,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l1'"
0.007571279295417227,29,"'' SVC, 'C' 0.1, 'kernel' 'rbf'"
