mean_test_score,rank_test_score,hyperparam_combination
0.3231073590665301,1,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 5, 'nestimators' 100"
0.30826751953053677,2,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 5, 'nestimators' 50"
0.30778411896762586,3,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 2, 'nestimators' 100"
0.2949172807990708,4,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 5, 'nestimators' 100"
0.2935951226038599,5,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 2, 'nestimators' 50"
0.2935505982431116,6,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 2, 'nestimators' 50"
0.2884810027137613,7,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 5, 'nestimators' 100"
0.288419005237187,8,"'' SVC, 'C' 10, 'kernel' 'rbf'"
0.28564741869132526,9,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 2, 'nestimators' 50"
0.28488874550384113,10,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 2, 'nestimators' 100"
0.28302606270422204,11,"'' SVC, 'C' 1, 'kernel' 'rbf'"
0.276351954875034,12,"'' RandomForestClassifier, 'maxdepth' None, 'minsamplessplit' 2, 'nestimators' 100"
0.26392790676561895,13,"'' RandomForestClassifier, 'maxdepth' 10, 'minsamplessplit' 5, 'nestimators' 50"
0.25965347666374966,14,"'' SVC, 'C' 0.1, 'kernel' 'linear'"
0.2569128157418763,15,"'' RandomForestClassifier, 'maxdepth' 5, 'minsamplessplit' 5, 'nestimators' 50"
0.23684208950957358,16,"'' KNeighborsClassifier, 'nneighbors' 7, 'weights' 'distance'"
0.23464609365678885,17,"'' SVC, 'C' 10, 'kernel' 'linear'"
0.2320888336262668,18,"'' SVC, 'C' 1, 'kernel' 'linear'"
0.22885995354148414,19,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l1'"
0.22524881683972597,20,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l1'"
0.22123143357972466,21,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 1, 'penalty' 'l2'"
0.2211037459599587,22,"'' KNeighborsClassifier, 'nneighbors' 5, 'weights' 'distance'"
0.22019734804803148,23,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 10, 'penalty' 'l2'"
0.21947505281504104,24,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l2'"
0.2122285588282269,25,"'' KNeighborsClassifier, 'nneighbors' 3, 'weights' 'distance'"
0.20610588250229442,26,"'' KNeighborsClassifier, 'nneighbors' 7, 'weights' 'uniform'"
0.20431270155869088,27,"'' KNeighborsClassifier, 'nneighbors' 5, 'weights' 'uniform'"
0.19781798093703523,28,"'' KNeighborsClassifier, 'nneighbors' 3, 'weights' 'uniform'"
0.11912497840568251,29,"'' LogisticRegressionmaxiter=500, multiclass='ovr', solver='saga', 'C' 0.1, 'penalty' 'l1'"
0.089643565739982,30,"'' SVC, 'C' 0.1, 'kernel' 'rbf'"
