"SUPPORT_FUNCTION_SK","SUPPORT_FUNC_NAME","RESOLVER_LEVEL"
"214,720,028",Degraded Performance,3
"412,069,519",Password Reset,1
"569,301,439",Access to Resources - Update/Modify,2
"569,446,415",VDI - Configuration,2
"615,581,948",Registration,1
"569,478,219",ServiceNow - How To Use,1
"572,586,905",Error Message,2
"569,470,948",MFP - Performance issues,2
"638,266,968",IOS - General Inquiries / General Troubleshooting,1
"569,269,877",WiFi - Not working /Not Starting,2
"569,277,277",Error Message,2
"569,265,244",Configuration,2
"572,501,976",Configuration - ECW,2
"572,695,336",Error Message,2
"592,805,618",Request New,2
"413,999,529",Software Install,1
"569,415,771",Teams,1
"571,270,851",Configuration,2
"215,180,576",Break Fix,3
"569,280,833",Azure - Application Freezing / Not responding,2
"569,316,796",Access to Resources - Installation,2
"638,353,740",Intune - Configuration,1
"569,362,486",Installation,2
"569,308,543",Macbook - Performance issues,2
"215,060,471",How to use,1
"571,403,792",Notification\Popup,2
"569,308,432",VMWare - Error Message,1
"214,602,738",Degraded Performance,3
"569,324,436",Create / New Access,2
"571,456,192",Configuration,2
"333,224,144",Security Camera,2
"571,272,047",Notification\Popup,2
"569,446,527",O365 - Access Issues,2
"569,427,520",TCO - General Inquiries / General Troubleshooting,2
"575,971,803",Request New,2
"615,542,626",Account Unlock,1
"615,519,851",Install/Reinstall,1
"572,571,699",Other,2
"627,883,598",Install,1
"569,477,263",O365 - New Access,2
"577,396,822",How to,2
"572,494,758",Outage,2
"569,477,375",Laptops - Hardware issue,2
"569,478,663",Not working /Not Starting,2
"215,203,708",Configuration,3
"569,277,390",Adobe Suite - Performance issues,1
"572,540,760",ECW,2
"615,495,922",Access issues,1
"569,330,584",VDI - Permission Issues,1
"569,262,442",Macbook - Error Message,2
"569,270,064",Global Protect - How To Use,2
"569,350,162",How To Use,1
"215,100,497",Configuration,3
"215,207,065",Error Message,3
"411,994,943",Password Reset,1
"575,971,509",Request New,2
"569,355,332",General Inquiries / General Troubleshooting,1
"569,419,795",TCO - Create / New Access,2
"569,353,899",Email - Create / New Access,2
"569,364,558",Desktop Scanner - Error Message,1
"572,641,182",Configuration - Paperstream,2
"571,263,657",OnePacs,2
"569,316,744",General Inquiries / General Troubleshooting,1
"569,285,185",SQL - General Inquiries / General Troubleshooting,2
"569,473,207",Hardware Request,2
"569,462,624",VMWare - Application Freezing / Not responding,2
"569,419,423",Connectivity Issues,1
"569,378,576",MFP - Hardware Request,2
"569,432,261",Update/Modify,2
"571,286,309",TempSensor - Medical,2
"638,244,590",Sharepoint - Application Error,1
"569,357,493",TIPS - How To Access,2
"569,465,840",Windows - Access Issues,2
"569,432,262",New Access,2
