Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,Year-Month
1,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,40675.0,ITALY,SPADAFORA,,,,38.22,15.37,,20.0,,20.0,,,,,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0,,,,1943-08
3,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630.0,ITALY,COSENZA,,,,39.27,16.25,,18.0,,36.0,,,,,36.0,500 LB GP (GP-M43/M64),,9.0,,,,,,,,,,9.0,,,,1943-08
4,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,16140.0,ITALY,GIOJA TAURO,,,,38.43,15.9,,15.0,,15.0,,1.0,,,30.0,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5,,,,1943-08
9,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,39469.0,ITALY,SCILLA,,,,38.23,15.72,,0.0,,,,,,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0,,,,1943-08
10,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,16140.0,ITALY,GIOJA TAURO,,ARMAMENT AND ORDNANCE PLANTS,,38.43,15.9,,0.0,,,,,,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0,,,,1943-08
96,1943-08-16,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,45319.0,ITALY,VILLA SAN GIOVANNI,,,,38.2,15.65,,32.0,,32.0,,,,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0,,,,1943-08
302,1943-08-16,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630.0,ITALY,COSENZA,,,,39.27,16.25,,4.0,,8.0,,,,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0,,,,1943-08
645,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630.0,ITALY,COSENZA,,,,39.27,16.25,,8.0,,16.0,,,,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0,,,,1943-08
646,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,23248.0,ITALY,LA SPEZIA,,,,44.1,9.83,,6.0,,12.0,,,,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0,,,,1943-08
647,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,23430.0,ITALY,LAMEZIA,,,,38.92,16.25,,6.0,,12.0,,,,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0,,,,1943-08
997,1943-08-18,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,2423.0,ITALY,BAGNARA,,,,38.27,15.8,,12.0,,12.0,,,,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0,,,,1943-08
998,1943-08-18,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,38595.0,ITALY,SCALEA,,,,39.85,15.78,,12.0,,24.0,,,,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0,,,,1943-08
1000,1943-08-18,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,41850.0,ITALY,STEFANO,,,,40.78,13.43,,6.0,,12.0,,,,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0,,,,1943-08
1045,1944-07-30,PTO,NEW ZEALAND,RNZAF,NO. 9 SQUADRON RNZAF,PV-1 VENTURA,,1,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,,SOLOMON ISLANDS,TUNURU,,,,-6.2,155.5666667,,1.0,1.0,,,,,,6.0,250 LB GP (GP-M57),1500.0,0.75,,,,0.0,,,,0.0,1500.0,0.75,,,,1944-07
1204,1943-08-18,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,30619.0,ITALY,NICASTRO,,,,38.97,16.3,,0.0,,,,,,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0,,,,1943-08
1205,1943-08-18,MTO,GREAT BRITAIN,RAF,240 WG,HALI,,,OUDNA,TUNISIA,36.649608,10.121936,,GREECE,CROTONE,,,,39.08,17.13,,16.0,16.0,16.0,,,,1.0,0.0,500 LB GP (GP-M43/M64),,,810.0,4 LB INCENDIARY,,21.87,,,,0.0,,61.62,,,698405.0,1943-08
1237,1943-08-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,8220.0,ITALY,CATANZARO,,,,38.9,16.62,,16.0,,32.0,,,,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0,,,,1943-08
1238,1943-08-19,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630.0,ITALY,COSENZA,,,,39.27,16.25,,11.5,,23.0,,1.0,,,23.0,500 LB GP (GP-M43/M64),,5.75,,,,,,,,,,5.75,,,,1943-08
1557,1943-08-20,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630.0,ITALY,COSENZA,,,,39.27,16.25,,16.0,,32.0,,,,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0,,,,1943-08
1591,1943-08-21,MTO,GREAT BRITAIN,RAF,240 WG,LIB,,,OUDNA,TUNISIA,36.649608,10.121936,,GREECE,CROTONE,,,,39.08,17.13,,17.0,16.0,16.0,,,,,0.0,500 LB GP (GP-M43/M64),,,840.0,4 LB INCENDIARY,,22.68,,,,0.0,,65.68,,,698407.0,1943-08
1839,1943-08-22,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,37808.0,ITALY,SALERNO,,,,40.67,14.73,,22.0,,44.0,,10.0,,,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0,,,,1943-08
1887,1943-08-23,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,2889.0,ITALY,BATTIPAGLIA,,,,40.62,14.97,,12.0,,24.0,,,,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0,,,,1943-08
1888,1943-08-23,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,2889.0,ITALY,BATTIPAGLIA,,,,40.62,14.97,,6.0,,12.0,,,,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0,,,,1943-08
1889,1943-08-23,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,11847.0,ITALY,EBOLI,,,,40.6,15.07,,6.0,,12.0,,,,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0,,,,1943-08
2015,1945-02-18,PTO,NEW ZEALAND,RNZAF,NO. 2 SQUADRON RNZAF,PV-1 VENTURA,JONES,1,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,,SOLOMON ISLANDS,BANIU HARBOR,HARBOR,,,-5.5,154.9,,8.0,8.0,,,,,,48.0,325 LB DC (DB-MK 17/47),15600.0,7.8,,,,0.0,,,,0.0,15600.0,7.8,,,,1945-02
2030,1945-02-18,PTO,NEW ZEALAND,RNZAF,NO. 2 SQUADRON RNZAF,PV-1 VENTURA,JONES,1,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.383889,,SOLOMON ISLANDS,BANIU HARBOR,HARBOR,,,-5.5,154.9,,8.0,8.0,,,,,,16.0,1000 LB GP (GP-M44/M65),16000.0,8.0,,,,0.0,,,,0.0,16000.0,8.0,,,,1945-02
2140,1943-08-24,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,8213.0,ITALY,CASTROVILLARI,,,,39.8,16.2,,16.0,,32.0,,12.0,,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0,,,,1943-08
2141,1943-08-24,MTO,USA,12 AF,27 FBG/86 FBG,A36,,,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,40038.0,ITALY,SIBARI,,,,39.78,16.47,,12.0,,24.0,,,,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0,,,,1943-08
