index,Mission Date,Mission ID,Mission Month
0,1941-01-01,53,January
1,1942-01-01,5,January
2,1943-01-01,33,January
3,1944-01-01,65,January
4,1945-01-01,376,January
5,1941-01-10,10,January
6,1942-01-10,39,January
7,1943-01-10,20,January
8,1944-01-10,55,January
9,1945-01-10,369,January
10,1941-01-11,36,January
11,1942-01-11,7,January
12,1943-01-11,13,January
13,1944-01-11,157,January
14,1945-01-11,119,January
15,1941-01-12,28,January
16,1942-01-12,3,January
17,1943-01-12,5,January
18,1944-01-12,75,January
19,1945-01-12,91,January
20,1941-01-13,9,January
21,1942-01-13,1,January
22,1943-01-13,61,January
23,1944-01-13,79,January
24,1945-01-13,220,January
25,1941-01-14,4,January
26,1942-01-14,42,January
27,1943-01-14,28,January
28,1944-01-14,170,January
29,1945-01-14,412,January
30,1941-01-15,21,January
31,1942-01-15,31,January
32,1943-01-15,30,January
33,1944-01-15,43,January
34,1945-01-15,222,January
35,1941-01-16,40,January
36,1942-01-16,2,January
37,1943-01-16,24,January
38,1944-01-16,77,January
39,1945-01-16,335,January
40,1941-01-17,1,January
41,1942-01-17,23,January
42,1943-01-17,25,January
43,1944-01-17,61,January
44,1945-01-17,317,January
45,1942-01-18,1,January
46,1943-01-18,12,January
47,1944-01-18,99,January
48,1945-01-18,142,January
49,1941-01-19,3,January
50,1942-01-19,2,January
51,1943-01-19,20,January
52,1944-01-19,79,January
53,1945-01-19,96,January
54,1941-01-02,13,January
55,1942-01-02,16,January
56,1943-01-02,47,January
57,1944-01-02,66,January
58,1945-01-02,325,January
59,1941-01-20,1,January
60,1942-01-20,6,January
61,1943-01-20,25,January
62,1944-01-20,119,January
63,1945-01-20,203,January
64,1941-01-21,4,January
65,1942-01-21,25,January
66,1943-01-21,37,January
67,1944-01-21,220,January
68,1945-01-21,293,January
69,1941-01-22,23,January
70,1942-01-22,16,January
71,1943-01-22,43,January
72,1944-01-22,95,January
73,1945-01-22,225,January
74,1941-01-23,1,January
75,1942-01-23,2,January
76,1943-01-23,69,January
77,1944-01-23,106,January
78,1945-01-23,88,January
79,1941-01-24,1,January
80,1942-01-24,3,January
81,1943-01-24,13,January
82,1944-01-24,73,January
83,1945-01-24,83,January
84,1941-01-25,3,January
85,1942-01-25,13,January
86,1943-01-25,9,January
87,1944-01-25,79,January
88,1945-01-25,113,January
89,1941-01-26,5,January
90,1942-01-26,32,January
91,1943-01-26,27,January
92,1944-01-26,41,January
93,1945-01-26,122,January
94,1941-01-27,3,January
95,1942-01-27,23,January
96,1943-01-27,60,January
97,1944-01-27,99,January
98,1945-01-27,100,January
99,1941-01-28,5,January
100,1942-01-28,29,January
101,1943-01-28,11,January
102,1944-01-28,97,January
103,1945-01-28,376,January
104,1941-01-29,12,January
105,1942-01-29,7,January
106,1943-01-29,16,January
107,1944-01-29,161,January
108,1945-01-29,322,January
109,1941-01-03,13,January
110,1942-01-03,7,January
111,1943-01-03,46,January
112,1944-01-03,72,January
113,1945-01-03,342,January
114,1942-01-30,7,January
115,1943-01-30,49,January
116,1944-01-30,186,January
117,1945-01-30,99,January
118,1941-01-31,2,January
119,1942-01-31,20,January
120,1943-01-31,18,January
121,1944-01-31,65,January
122,1945-01-31,217,January
123,1941-01-04,26,January
124,1942-01-04,10,January
125,1943-01-04,16,January
126,1944-01-04,151,January
127,1945-01-04,116,January
128,1941-01-05,3,January
129,1942-01-05,16,January
130,1943-01-05,18,January
131,1944-01-05,125,January
132,1945-01-05,377,January
133,1941-01-06,2,January
134,1942-01-06,18,January
135,1943-01-06,31,January
136,1944-01-06,45,January
137,1945-01-06,253,January
138,1941-01-07,1,January
139,1942-01-07,10,January
140,1943-01-07,33,January
141,1944-01-07,122,January
142,1945-01-07,275,January
143,1941-01-08,21,January
144,1942-01-08,17,January
145,1943-01-08,35,January
146,1944-01-08,82,January
147,1945-01-08,268,January
148,1941-01-09,134,January
149,1942-01-09,13,January
150,1943-01-09,18,January
151,1944-01-09,48,January
152,1945-01-09,110,January
153,1939-10-01,1,October
154,1940-10-01,67,October
155,1941-10-01,58,October
156,1942-10-01,22,October
157,1943-10-01,102,October
158,1944-10-01,139,October
159,1940-10-10,86,October
160,1941-10-10,102,October
161,1942-10-10,11,October
162,1943-10-10,84,October
163,1944-10-10,100,October
164,1940-10-11,65,October
165,1941-10-11,16,October
166,1942-10-11,11,October
167,1943-10-11,11,October
168,1944-10-11,164,October
169,1940-10-12,70,October
170,1941-10-12,155,October
171,1942-10-12,13,October
172,1943-10-12,22,October
173,1944-10-12,332,October
174,1940-10-13,36,October
175,1941-10-13,59,October
176,1942-10-13,25,October
177,1943-10-13,31,October
178,1944-10-13,189,October
179,1940-10-14,37,October
180,1941-10-14,54,October
181,1942-10-14,2,October
182,1943-10-14,61,October
183,1944-10-14,321,October
