Show.Name,Show.Theatre
'Night Mother,1
110 In The Shade,1
13,1
1776,2
33 Variations,1
42Nd Street '01,1
45 Seconds From Broadway,1
700 Sundays,1
700 Sundays '13,1
9 To 5,1
A Behanding In Spokane,1
A Bronx Tale,1
A Catered Affair,1
A Chorus Line '06,1
A Christmas Carol '01,1
A Christmas Story,1
A Class Act,1
A Day In The Death Of Joe Egg,1
A Delicate Balance,1
A Delicate Balance 2014,1
A Doll'S House,1
A Free Man Of Color,1
A Funny Thing Happened On The Way To The Forum,1
A Gentleman'S Guide To Love And Murder,1
A Life In The Theatre,1
A Little More Magic,1
A Little Night Music,1
A Man For All Seasons,1
A Midsummer Night'S Dream,1
A Mom'S Life,1
A Month In The Country,1
A Moon For The Misbegotten 00,1
A Moon For The Misbegotten 07,1
A Naked Girl On The Appian Way,1
A Night With Janis Joplin,1
A Raisin In The Sun,1
A Raisin In The Sun '14,1
A Steady Rain,1
A Streetcar Named Desire '12,1
A Streetcar Named Desire 05,1
A Streetcar Named Desire 92,1
A Tale Of Two Cities,1
A Thousand Clowns,1
A Thousand Clowns 01,1
A Time To Kill,1
A Touch Of The Poet,1
A View From The Bridge,2
A View From The Bridge '10,1
A View From The Bridge 2015,1
A Year With Frog And Toad,1
Absurd Person Singular,1
Accent On Youth,1
Act One,1
After Midnight,1
After Miss Julie,1
After The Fall,1
After The Night And The Music,1
"Ah, Wilderness",1
Aida,1
Airline Highway,1
Aladdin,1
All About Me,1
All My Sons 08,1
All Shook Up,1
All The Way,1
Allegiance,1
Amadeus,1
Amazing Grace,1
American Buffalo,1
American Idiot,1
American Psycho,1
Amour,1
Amy'S View,1
An Act Of God,1
An Act Of God 2016,1
An Almost Holy Picture,1
An American Daughter,1
An American In Paris,1
An Enemy Of The People,1
An Evening With Jerry Herman,1
An Evening With Patti Lupone And Mandy Patinkin,1
An Ideal Husband,1
Ann,1
Anna In The Tropics,1
Annie,1
Annie '12,1
Annie Get Your Gun,1
Anything Goes '11,1
Arcadia,1
Arcadia '11,1
Art,1
As Long As We Both Shall Laugh,1
Assassins,1
August: Osage County,2
Avenue Q,1
Awake And Sing!,1
Aznavour,1
Baby It'S You!,1
Band In Berlin,1
Barbara Cook'S Broadway,1
Barbara Cook: Mostly Sondheim,1
Barefoot In The Park,1
Barrymore,1
Bea Arthur On Broadway,1
Beautiful,1
Beauty And The Beast,2
Bells Are Ringing,1
Bengal Tiger At The Bagdhad Zoo,1
Betrayal,1
Betrayal '13,1
Big,1
