Show.Name,Show.Theatre
1776,2
A View From The Bridge,2
August: Osage County,2
Beauty And The Beast,2
Brooklyn,2
Cabaret 98,2
Chicago,3
Defending The Caveman,2
Forever Tango '97,2
Glengarry Glen Ross '05,2
It Ain'T Nothin' But The Blues,2
It'S Only A Play,2
Jersey Boys,2
Mamma Mia!,3
Man Of La Mancha 02,2
Night Must Fall,2
Peter Pan 98,2
Rain: A Tribute To The Beatles On Broadway,2
Rock Of Ages,2
Side Man,2
The 39 Steps,3
The Humans,2
The Lion King,2
The Scarlet Pimpernel,2
Time Stands Still,2
Venus In Fur,2
Waiting In The Wings,2
